insert 9687746 0,15918711859695 240
insert 316282 0,245115240684298 240
insert 5773288 0,0315878363473284 157
insert 9727625 0,299686408275592 193
insert 517074 0,782993786401578 342
insert 2107775 0,136647451266948 149
insert 1652396 0,999700692947815 256
insert 8560581 0,712928860314623 164
insert 5125559 0,893388633566624 82
insert 7308595 0,590320879868381 271
insert 942730 0,905118543610498 336
insert 4438999 0,109794926415102 197
insert 763148 0,483560974003543 108
insert 1983622 0,873437991772517 25
insert 6606927 0,260963101992832 191
insert 864028 0,387215009139485 113
insert 3549412 0,548309378581266 120
insert 374984 0,501475467114465 330
insert 2152913 0,110803521755526 84
insert 7049815 0,519072288423345 126
insert 4381786 0,846469209457966 158
insert 6847713 0,878489475640696 142
insert 6022837 0,607807513609439 242
insert 4017467 0,134462777122139 235
insert 1147338 0,966877375713958 45
insert 6402421 0,195365439725744 162
insert 9263189 0,426153083064665 182
insert 9139914 0,375918336387686 15
insert 4187877 0,0567746283750863 145
insert 165937 0,228608538037449 359
insert 3138187 0,371333298911961 347
insert 9501023 0,760183631330814 9
insert 6303079 0,975921405002438 137
insert 1368668 0,484119131455253 280
insert 6428325 0,953194533918609 148
insert 6809571 0,922764590439743 192
insert 7928522 0,575049264624272 329
insert 7833404 0,778662578565377 33
insert 8455529 0,524187214916659 169
insert 3992554 0,26598356816265 295
insert 9909247 0,585690011543077 136
insert 6742074 0,0879279813207351 274
insert 6885977 0,164631491603624 74
insert 992939 0,00993410964027704 78
insert 694921 0,789452059096402 339
insert 7267661 0,27115892119294 152
insert 6281648 0,737830647145319 48
insert 8690449 0,2237414816505 235
insert 835533 0,530478294254503 213
insert 8715694 0,10454938658725 84
insert 5564179 0,231052542678571 255
insert 5607587 0,14594209806339 323
insert 4002085 0,968625057008409 311
insert 6507171 0,99235933320241 272
insert 3279043 0,693558350528385 203
insert 6959940 0,713848321099695 356
insert 1508852 0,118786853793444 91
insert 478270 0,771090555363843 190
insert 6877048 0,121879803073537 130
insert 7256397 0,590654132697105 200
insert 1704587 0,817028311461689 21
insert 9706973 0,542876009616477 280
insert 5095061 0,508733352883129 231
insert 436048 0,326557608939036 108
insert 5574572 0,977447776579041 268
insert 3758769 0,541140638078163 190
insert 884441 0,38755927532332 293
insert 6034602 0,720684226472249 354
insert 9829681 0,508590838643066 165
insert 1817849 0,87305396975626 8
insert 5364805 0,674568817799244 136
insert 3078168 0,480258365385355 63
insert 6980509 0,357207019048374 54
insert 7862335 0,186487849422958 73
insert 3457005 0,107280422052033 285
insert 9504944 0,490369820730002 285
insert 7826816 0,311827870231042 209
insert 8317653 0,63719558372963 73
insert 7408197 0,566998556985985 34
insert 743195 0,987729205278554 12
insert 3189195 0,32772128206106 228
insert 6194476 0,507124241677636 234
insert 9245629 0,24964038433956 178
insert 5701402 0,67782594527948 66
insert 3795007 0,302210530406894 72
insert 6115150 0,257759642441645 220
insert 1935332 0,0324736931512475 6
insert 6663192 0,399103308748036 202
insert 4433231 0,704715191249137 13
insert 1748760 0,566997151620219 328
insert 789869 0,623731421597177 133
insert 1163971 0,46731400837531 309
insert 5694355 0,726252892392805 216
insert 1402404 0,0259314896659607 86
insert 2964533 0,212541314872234 228
insert 3968055 0,452264608560253 120
insert 20234 0,129304708973181 111
insert 4829402 0,88078628428317 343
insert 160641 0,652600371117052 334
insert 744532 0,176124536048679 288
insert 6146155 0,749686872935708 245
insert 5839296 0,491153355450906 19
insert 8144558 0,263103620271712 300
insert 3423048 0,0420794198485461 191
insert 132476 0,0532928342247814 2
insert 7774915 0,369865840938811 67
insert 9272241 0,0465175840288948 90
insert 7023881 0,172852635464097 157
insert 6040208 0,596046656182058 267
insert 4142223 0,100333016878149 293
insert 9301485 0,494982301488045 198
insert 7977471 0,52562489664444 99
insert 5580862 0,712523764796799 259
insert 5799074 0,582349740705616 68
insert 5000885 0,659718572934958 31
insert 7777321 0,469692656523405 297
insert 9487133 0,238572571537724 101
insert 7420559 0,147229109027995 46
insert 5499584 0,912227376323299 207
insert 2449507 0,979908708939286 322
insert 3111493 0,400233503617455 58
insert 201828 0,412156264489589 196
insert 9813783 0,215500494099921 189
insert 7302975 0,219405377851522 236
insert 4651740 0,347316773304398 167
insert 632895 0,202299649455724 184
insert 3504671 0,82628872935953 45
insert 9154516 0,465508993000495 310
insert 5319791 0,188092614611654 125
insert 4205214 0,247788662206283 220
insert 6994103 0,313135413598798 263
insert 8262812 0,268758014900963 65
insert 263903 0,479905646517829 89
insert 5401281 0,796353770790786 91
insert 2998255 0,218415721886985 6
insert 6253924 0,276881944982746 287
insert 6654391 0,486668873339272 255
insert 637001 0,894483636549899 55
insert 7687526 0,395697699112677 336
insert 3010101 0,488203777693307 80
insert 1993439 0,560856989380371 348
insert 9142704 0,0308872074963931 326
insert 9247270 0,638892774301997 28
insert 2820516 0,0368992095053658 260
insert 2655717 0,81033898275827 10
insert 8721618 0,615626174777572 88
insert 8425932 0,906586653043789 328
insert 5478408 0,755082295627837 274
insert 9034697 0,635710204316168 150
insert 5789950 0,057528560542282 314
insert 2473917 0,725380226841839 357
insert 234986 0,340784244863682 84
insert 2864803 0,385555095218846 67
insert 1128972 0,700665433751729 229
insert 7213535 0,383387502461387 161
insert 9875337 0,798128420858704 30
insert 1236850 0,896590862375028 280
insert 6876312 0,458416906398915 209
insert 3128529 0,651503069164 290
insert 2065920 0,010800623805635 142
insert 4876181 0,345731944006743 209
insert 2054984 0,0346598797639179 112
insert 7306921 0,242073095516336 169
insert 7944381 0,585681506705322 82
insert 595647 0,729696022220746 74
insert 2732214 0,826487279416289 133
insert 3113501 0,915936069523886 301
insert 3345071 0,455310055266745 57
insert 929887 0,55976048696775 96
insert 4100847 0,710645678318406 248
insert 4297220 0,0798882875032203 134
insert 7923515 0,625279042229652 127
insert 566249 0,515855134705014 125
insert 1382506 0,256841589816307 200
insert 6145899 0,329246843852683 111
insert 5500004 0,628066482780532 262
insert 3756959 0,0396314813008679 297
insert 4340799 0,89524191799352 34
insert 5575952 0,153111063946556 320
insert 4204265 0,112509651161968 170
insert 445556 0,320607389938369 191
insert 7802735 0,364716089500448 182
insert 8553166 0,267213245512551 37
insert 8509877 0,216596542027125 111
insert 229671 0,173099443862727 237
insert 2815264 0,719917207360229 45
insert 8500283 0,542988346676802 335
insert 5382424 0,0343888388175465 241
insert 8642653 0,995642187071798 66
insert 2798899 0,234756291487606 169
insert 4645116 0,636198441328573 145
insert 8738282 0,0936950189497764 337
insert 246279 0,834316353702134 347
insert 8051161 0,694683836630864 129
insert 6243039 0,524708175810384 296
insert 5143836 0,411112730117102 259
insert 4357700 0,276068761607664 155
insert 7643586 0,570398173094912 205
insert 5432053 0,506313225955848 103
insert 8604132 0,916008176242937 132
insert 3211468 0,575426691014053 11
insert 6322490 0,386476128542086 208
insert 9072866 0,149138940567681 28
insert 7228602 0,256898549970658 318
insert 1615324 0,0449122060299442 305
insert 5708407 0,913938532077679 183
insert 8479792 0,349881740915534 210
insert 4625038 0,844119842557292 345
insert 389741 0,70015292367905 23
insert 8338241 0,330622841292351 211
insert 6500156 0,164214687964048 330
insert 5954568 0,483969286775202 42
insert 3283962 0,992054902479078 49
insert 2426368 0,607096983868208 94
insert 6427380 0,712909794744528 6
insert 5475930 0,602826220264112 189
insert 7212167 0,972364621689713 213
insert 7765378 0,012433962436595 203
insert 7845444 0,858642954313496 263
insert 737694 0,593274880011228 247
insert 5145978 0,0734624821103469 294
insert 4920226 0,0728446310725271 33
insert 9672926 0,56607560513824 201
insert 7290473 0,242444483676201 331
insert 3714486 0,605342419168606 267
insert 3225556 0,819765846161063 47
insert 9395173 0,491381118768538 35
insert 5403143 0,112607384618655 128
insert 9950070 0,873477760643455 54
insert 3521817 0,810912406449631 225
insert 3879502 0,254626859098033 143
insert 4519088 0,728039006110299 192
insert 4434576 0,150715417298821 230
insert 9264863 0,580300326729333 13
insert 9645430 0,9921694300101 262
insert 6704910 0,405089272374794 146
insert 8233416 0,461988778068679 13
insert 6000968 0,134252105902067 36
insert 5889965 0,974283531296199 345
insert 4602578 0,497015532803263 71
insert 9409031 0,615110934067103 271
insert 9356165 0,341097067269076 355
insert 5231036 0,919539773333603 315
insert 2091502 0,879097977131185 240
insert 4911448 0,01303096861254 327
insert 605760 0,575771253358466 43
insert 6283380 0,32451603483619 168
insert 7446891 0,528840063851718 125
insert 5864492 0,787853496516055 43
insert 2968862 0,862912340957165 271
insert 5727794 0,983199810601398 235
insert 4406982 0,985583213151239 347
insert 2815874 0,0289264610171907 234
insert 7421025 0,147387457148818 174
insert 5297881 0,614191422990612 209
insert 3698266 0,108951916503232 43
insert 1908129 0,52842041315903 143
insert 8404171 0,831919798083566 62
insert 7309783 0,196213954219694 31
insert 4062395 0,349167362483762 199
insert 8674428 0,226217345905591 20
insert 1235479 0,636370851023295 322
insert 153505 0,0504465908978351 9
insert 9458913 0,778988671851805 196
insert 4693655 0,886235568153782 63
insert 9828389 0,214901052049781 329
insert 7660328 0,216622545019082 244
insert 9991536 0,106073292021674 120
insert 3552431 0,732362261383032 54
insert 4812003 0,709719911082517 284
insert 8789185 0,875347846129605 244
insert 978287 0,874659642053144 331
insert 4289220 0,406240191965476 352
insert 6869926 0,354476134923508 21
insert 937733 0,244921569826511 269
insert 8516674 0,371051551015606 340
insert 9953709 0,748139392932942 353
insert 1716222 0,640206742864198 47
insert 8743419 0,86828925547576 43
insert 7221355 0,76830474136784 325
insert 7446181 0,534150157838198 122
insert 2380784 0,0669728769301311 325
insert 8670856 0,371536799879529 4
insert 2559584 0,553916922562717 291
insert 9368280 0,0790401930357517 310
insert 6203962 0,905380234078216 310
insert 5850601 0,50357571127991 130
insert 2055957 0,485829466248783 346
insert 8080563 0,707296293092564 84
insert 5472142 0,223486801247805 2
insert 8010260 0,706786562086449 229
insert 738119 0,942374480395752 295
insert 7177786 0,855694885298468 64
insert 8457909 0,98458179178861 359
insert 9341083 0,739412453835557 69
insert 1726520 0,234794160460492 202
insert 2703984 0,253945736332771 346
insert 2589923 0,137075318087393 95
insert 5426978 0,539022371423907 17
insert 3791461 0,430022139768126 129
insert 6684997 0,319871412739098 53
insert 52055 0,454932409084836 304
insert 1707254 0,863016086566735 49
insert 418204 0,902617608617348 17
insert 6832030 0,739269270905885 186
insert 3617959 0,271487478758901 268
insert 7673580 0,635404314676022 170
insert 6739745 0,276815873699643 349
insert 434613 0,542033725670555 205
insert 3732064 0,531114103054215 145
insert 7720052 0,338632484124337 153
insert 8182721 0,177291193128233 239
insert 8514647 0,928902764305893 102
insert 3470921 0,00192663259893965 133
insert 4245008 0,228577974358843 126
insert 9132236 0,575789302389971 143
insert 7457351 0,180901920041489 96
insert 3019036 0,611788113886392 286
insert 8871744 0,994525169019832 15
insert 1785089 0,961744174343415 328
insert 2774191 0,797518988976962 119
insert 7333136 0,269815147514369 203
insert 6240126 0,864930920239971 202
insert 8542835 0,510331206726996 123
insert 4619369 0,420265937885393 228
insert 1007240 0,249473716248513 17
insert 6182129 0,130237692562043 347
insert 1719051 0,627471309913076 126
insert 1358172 0,470101606319706 261
insert 6310549 0,931097657853317 65
insert 6216548 0,672955818787662 348
insert 3715813 0,0696729934167457 73
insert 398760 0,691187233520293 345
insert 7873430 0,28921106936839 255
insert 8358279 0,891451570154844 241
insert 9249501 0,839966711513683 68
insert 1611401 0,78645039246718 268
insert 9948176 0,560295996517081 299
insert 9466542 0,105513919659664 61
insert 9816898 0,597496387361314 287
insert 8371407 0,99295768281117 336
insert 3792120 0,232628700431729 301
insert 3754261 0,0903556063260676 126
insert 4290700 0,0608479683570787 200
insert 894750 0,830869933977197 302
insert 2553860 0,33607722741369 264
insert 6796414 0,210867038094842 226
insert 5353221 0,469914777423215 52
insert 4377145 0,626837200311402 40
insert 1356521 0,424927101202741 347
insert 343599 0,0581862898814428 33
insert 1590492 0,950202248967347 106
insert 7770251 0,456615915734608 237
insert 8331953 0,549524053721467 269
insert 8409292 0,732070104559916 261
insert 1867649 0,905342567202329 262
insert 9904798 0,691268219003113 276
insert 4340279 0,302048330801562 139
insert 1695786 0,30181856001812 188
insert 7891859 0,941497482332167 218
insert 7247155 0,239774016309424 239
insert 3864338 0,394710073897014 0
insert 4645956 0,930425786846516 317
insert 5447732 0,47836092136724 316
insert 771968 0,846446144323072 238
insert 8805237 0,694392962704596 265
insert 4190448 0,250949601293984 259
insert 3832337 0,145172249593387 264
insert 1947223 0,600332025252437 272
insert 7070614 0,989470639261171 233
insert 7732104 0,987839122762829 185
insert 530313 0,108479759706408 111
insert 841826 0,454495360820785 121
insert 7229407 0,722169333473858 350
insert 8487583 0,445706621951287 76
insert 8899753 0,356831069270536 164
insert 7252863 0,289054856770232 218
insert 7851982 0,370141155724479 248
insert 8842968 0,341481805938055 34
insert 9317696 0,191711489200458 285
insert 2465237 0,757534139676734 338
insert 2322839 0,771562755467167 176
insert 3643428 0,02416550043233 265
insert 3515929 0,79634118955412 86
insert 4004846 0,696104095641572 190
insert 7465778 0,534475382200664 251
insert 5207515 0,304747000944217 87
insert 3005357 0,98177513199941 252
insert 409580 0,988012248644611 222
insert 8245705 0,168734502591535 276
insert 2151482 0,152412977140589 94
insert 5429819 0,47641702623871 347
insert 339616 0,616474381469411 242
insert 7223854 0,525632502290249 119
insert 7176358 0,373693417931764 177
insert 3675279 0,384713590324257 242
insert 1617676 0,137719014257993 290
insert 3951361 0,411018038359945 319
insert 5508770 0,945987946794363 279
insert 2405393 0,19132590442492 282
insert 8728238 0,539772325912384 307
insert 9709684 0,136444676265328 231
insert 9771137 0,857502660182073 79
insert 5641450 0,712616219982792 330
insert 253217 0,798366085532292 280
insert 9108353 0,582899970739568 218
insert 2077021 0,67343009620599 217
insert 9436609 0,6628029391462 11
insert 9599915 0,820012131622067 266
insert 3758193 0,992104889355649 190
insert 1888761 0,793422267676062 153
insert 8905933 0,849561667465401 354
insert 4772345 0,746667371013513 85
insert 8487854 0,39041426516623 189
insert 4543499 0,597622539195056 153
insert 8890054 0,369814377915959 220
insert 1078499 0,64004170551898 130
insert 1676772 0,0328372498195792 186
insert 1802518 0,92916292461062 315
insert 8244155 0,01097690081735 113
insert 9025332 0,601294346899397 311
insert 6892579 0,375268887903201 330
insert 4928525 0,134728401496414 341
insert 7932543 0,433600816146285 301
insert 3708329 0,358916660472246 101
insert 760877 0,489310916275396 23
insert 6059126 0,0709861070248234 162
insert 1287429 0,267969393761814 126
insert 1673411 0,021198892510123 273
insert 9072526 0,710341511159363 331
insert 1088907 0,652819061490157 264
insert 9208161 0,946252181169694 284
insert 6618131 0,765092000721531 80
insert 5059088 0,396152899319377 84
insert 6638475 0,314595667326169 74
insert 5268553 0,796844321208468 242
insert 2348799 0,104164120324032 158
insert 8117889 0,218502815448913 338
insert 8662347 0,773790287679895 119
insert 5133345 0,521916886568962 127
insert 1586089 0,5855998548612 152
insert 284056 0,684363532664424 281
insert 1005421 0,450016775378034 148
insert 4938959 0,41427456886241 260
insert 8428267 0,100003852089869 242
insert 2151117 0,46489545119223 343
insert 1456222 0,640485727060812 80
insert 866644 0,672372691646392 218
insert 4805467 0,297101802796639 156
insert 7956996 0,0545814060860227 62
insert 4557949 0,148478572326004 87
insert 8682836 0,347299907518225 291
insert 8106990 0,635441859548652 226
insert 4256591 0,426313246798847 124
insert 2612561 0,740984064406242 248
insert 7156330 0,968962238155753 42
insert 2651575 0,65112301365059 111
insert 3799512 0,367712292525783 317
insert 1297154 0,0719445059410969 328
insert 8182094 0,547858940692553 139
insert 3464655 0,304842453126257 142
insert 2402025 0,0381009476436772 95
insert 4810438 0,97454309276051 270
insert 8642801 0,40441269120407 298
insert 3231415 0,719963159747405 77
insert 8775270 0,825408318464369 335
insert 9162878 0,764913641738199 118
insert 3158172 0,530542090316556 145
insert 8635670 0,0758437384273129 281
insert 3617439 0,738568231807355 99
insert 8973258 0,992489586580773 31
insert 2429704 0,0791936261016846 43
insert 9513921 0,0210535242320288 253
insert 4240935 0,234589291380061 357
insert 3657950 0,400877422839812 88
insert 4794412 0,0568096349280372 233
insert 6672586 0,252188398620201 88
insert 9818385 0,901921660128013 281
insert 591221 0,0306482259326839 278
insert 9919769 0,376635528810618 346
insert 4850297 0,119299846756877 84
insert 4773485 0,966954282003899 148
insert 7418706 0,0801711869799398 230
insert 927016 0,926134848932798 289
insert 2285055 0,492194284448491 190
insert 3337204 0,950022263894799 46
insert 1567480 0,384125812158047 6
insert 1330171 0,694485275398234 175
insert 288192 0,915487345268711 32
insert 3046376 0,18384823956706 17
insert 3471704 0,959415199681844 231
insert 7406259 0,939063838189032 41
insert 7584442 0,888446475792884 156
insert 8347872 0,737570572056608 351
insert 69795 0,574556992656811 117
insert 4421813 0,753333025497074 147
insert 2526209 0,725401745981258 29
insert 6446356 0,835228906867667 357
insert 9432231 0,352012569714343 152
insert 7495950 0,448529328894117 18
insert 3213551 0,437233052885734 322
insert 5922241 0,745531255726484 348
insert 1599367 0,487879602931384 199
insert 4150349 0,575276134803554 22
insert 6957415 0,321960852165688 232
insert 423956 0,126037547889183 43
insert 1603262 0,586637820856011 58
insert 6808405 0,0520166713055301 165
insert 9679194 0,702534735529933 44
insert 6519082 0,797402801829112 211
insert 6904748 0,00884925667608588 158
insert 3824562 0,513432039652687 108
insert 803155 0,414755465655939 298
insert 3593339 0,282244594433459 95
insert 8565969 0,837586042861261 54
insert 190501 0,948894168692126 184
insert 3459544 0,90082745016591 81
insert 3048862 0,589268744266251 310
insert 8893126 0,6405146273973 138
insert 4378764 0,624304695345603 15
insert 8425333 0,50802852004209 248
insert 9660791 0,724560032470413 203
insert 6216586 0,313285322540107 291
insert 3462177 0,96208015501596 256
insert 2909025 0,800992383063302 109
insert 8967008 0,824243621353173 77
insert 3083208 0,948869264195147 271
insert 6109182 0,305953802217708 322
insert 3610762 0,385588584647322 151
insert 5780256 0,493143587137174 314
insert 9151211 0,64243904670814 284
insert 7860292 0,516800543999672 278
insert 5749766 0,890517751635293 40
insert 5836987 0,397391532732822 228
insert 7047392 0,999736755620566 337
insert 5146929 0,0139837428061216 283
insert 5574982 0,992611719757603 293
insert 1707857 0,12955557141898 243
insert 2893559 0,231615118324577 72
insert 7939014 0,605002931135242 122
insert 1468463 0,0436330023424854 295
insert 9356114 0,431096583339896 115
insert 9208313 0,504873329077323 102
insert 5301771 0,321724275742529 336
insert 1014046 0,724622149357862 198
insert 1180317 0,906178995923222 110
insert 9578280 0,846383307057611 133
insert 6313041 0,0205273572451097 180
insert 566464 0,744335384454734 184
insert 1150153 0,49667326337503 102
insert 5721413 0,781075172024348 102
insert 7740545 0,436852367332602 127
insert 8154671 0,769127841931362 204
insert 6191061 0,593861627669009 183
insert 5040845 0,0273211295843688 241
insert 8825451 0,0693811350825155 145
insert 1239576 0,171324232672958 117
insert 8958576 0,836073392925818 273
insert 9673666 0,515542214510749 8
insert 3196098 0,878964994046355 247
insert 8067576 0,805815972763028 2
insert 9990064 0,958035795464197 194
insert 6482110 0,327350055485661 103
insert 1977192 0,302564609936701 49
insert 7375768 0,338721869671122 90
insert 8624944 0,127219629067564 357
insert 8296444 0,174101269885013 242
insert 1079500 0,991057639471748 117
insert 9597493 0,676283685339747 340
insert 5268951 0,806687956585869 331
insert 3306528 0,495857242725723 320
insert 8818789 0,812348553823469 283
insert 5009103 0,505078108750786 24
insert 1302383 0,234334087108417 267
insert 1171636 0,926238498616143 312
insert 1883849 0,158280796910767 179
insert 5060979 0,104872177869488 139
insert 298994 0,489965444658867 253
insert 118069 0,698807579790618 293
insert 6828510 0,0392571101147947 101
insert 5956473 0,121315852795409 187
insert 3664596 0,867066315779028 290
insert 2468883 0,855697900920966 189
insert 4644760 0,361584080085896 223
insert 9239208 0,699406083067603 338
insert 9329231 0,990786413192184 23
insert 4565894 0,771364334864246 186
insert 4476502 0,0207972517333912 252
insert 5329875 0,300753467856326 2
insert 1852991 0,870072023882564 40
insert 9732873 0,818059313026284 167
insert 7875332 0,534591015677243 40
insert 2213689 0,750704010832451 21
insert 620522 0,94149666230264 108
insert 9709782 0,041621920206408 267
insert 7661810 0,105978523896066 284
insert 7650965 0,0788837797375786 254
insert 7499391 0,226261627034406 96
insert 7637492 0,147997068775816 36
insert 8188463 0,833472061824739 203
insert 8008155 0,0615891823831895 354
insert 4128323 0,49118870286792 195
insert 1563205 0,136387669544848 59
insert 8267489 0,711554189078302 86
insert 56469 0,394537152440537 298
insert 2154199 0,476672048436791 352
insert 9585276 0,766806502252261 70
insert 2153324 0,420202582338919 284
insert 4055198 0,223348129179025 213
insert 1979282 0,0237840023002513 139
insert 124996 0,402522660513652 330
insert 4928593 0,261236686381156 316
insert 3169570 0,558145865592242 198
insert 1997633 0,609860543445619 349
insert 6257442 0,938347592921158 132
insert 4679387 0,744292234417187 299
insert 4380251 0,548329229256291 241
insert 1213432 0,860318639250621 23
insert 3715379 0,58548313266853 230
insert 1944376 0,00731253438038404 96
insert 9517270 0,958392298295345 40
insert 7782211 0,814249315212597 111
insert 3228504 0,512787623104075 47
insert 9499601 0,898462973487779 330
insert 4287421 0,75876435020881 56
insert 2251840 0,589588142274687 173
insert 4238586 0,937581043195716 172
insert 7600732 0,7599031206965 171
insert 7152689 0,891156363715956 195
insert 8505663 0,121321430951972 243
insert 2385208 0,122519386057984 198
insert 2825926 0,248036249656247 234
insert 8569871 0,847523173711972 44
insert 582980 0,145088310886681 83
insert 6984240 0,488064910046786 233
insert 7527988 0,692601155346539 36
insert 9097196 0,1463538143534 358
insert 1595316 0,770578979407707 25
insert 7887846 0,191653869669723 71
insert 6371488 0,0629521939265319 332
insert 7668275 0,472284063916786 140
insert 4575469 0,711439312766976 279
insert 3676928 0,146149470538902 183
insert 5054777 0,36819690250242 267
insert 3577567 0,365560591391083 285
insert 2475512 0,0616492028635224 97
insert 8255885 0,962470089067924 71
insert 4406497 0,940846788669399 350
insert 6798585 0,0789892692486706 126
insert 4811018 0,493807964722536 20
insert 4529790 0,219838292905986 282
insert 2010053 0,291470554793007 242
insert 8400384 0,240877096187732 279
insert 8739226 0,385105985861787 196
insert 5908261 0,404241887109467 280
insert 2538300 0,801774898917309 145
insert 2772387 0,541233395478331 46
insert 9266509 0,811560376925189 36
insert 7245377 0,326177775080399 191
insert 4164985 0,777688349027973 227
insert 4240031 0,886591011605501 234
insert 4543457 0,0524986461049405 53
insert 9574939 0,156751385497279 26
insert 1196884 0,407512864287716 295
insert 4952126 0,95166584893673 207
insert 6521035 0,849823543731972 193
insert 1968107 0,426028541487655 99
insert 9469220 0,203863081151556 342
insert 9263777 0,526328100602295 146
insert 6840888 0,476467583084697 347
insert 1413669 0,42353984360748 166
insert 1441755 0,449919487559199 179
insert 8941101 0,136480467923209 126
insert 6297983 0,296336033053853 232
insert 3309283 0,157550273536495 48
insert 3092325 0,43143835357923 309
insert 5231180 0,0724342195654447 171
insert 9948323 0,219687870805938 126
insert 3552356 0,477081162145865 245
insert 6997669 0,527968007385716 189
insert 7400806 0,273405113850443 244
insert 1087972 0,97832151361663 354
insert 3575833 0,351037059608398 180
insert 788491 0,757993344570507 256
insert 1848616 0,567012402493047 46
insert 6321908 0,615993667215106 16
insert 8188540 0,617145153049913 34
insert 5483833 0,160970873274361 145
insert 4889385 0,146534598035056 73
insert 1115289 0,78893988057456 350
insert 8157870 0,194343242419112 219
insert 8255726 0,889717608638908 8
insert 9647397 0,22213109453308 64
insert 1497475 0,951649200614378 28
insert 3581481 0,444268872702619 113
insert 7630111 0,809970713132047 234
insert 2219672 0,723044816275614 309
insert 6364151 0,88091289851857 327
insert 4312807 0,191697305623301 40
insert 2762504 0,619858708521285 299
insert 7801210 0,246054419896591 202
insert 5289080 0,26306208514751 202
insert 1048306 0,359288965053525 243
insert 1067615 0,667451145903883 141
insert 8670840 0,669106527543211 239
insert 144884 0,190235221381409 258
insert 895924 0,725927392824519 121
insert 5511765 0,889561640512925 23
insert 1117508 0,179371920963457 112
insert 6976896 0,394291897022301 251
insert 9104966 0,688489272114117 216
insert 3474418 0,369626462631685 254
insert 5183041 0,829240130646732 65
insert 7507907 0,658180540268393 162
insert 9753806 0,115205709876123 20
insert 4672249 0,769331075143689 76
insert 2453269 0,416792345427346 0
insert 3957322 0,186657950369016 321
insert 4952230 0,228944543390043 128
insert 4962021 0,417157205481621 30
insert 2502197 0,407141009069579 347
insert 9792744 0,196264910603065 352
insert 7915901 0,519642203356904 107
insert 9599011 0,496184338115242 129
insert 5354952 0,338801715680771 24
insert 8858821 0,575795830029899 278
insert 103013 0,644525908233843 147
insert 1016239 0,452362704301422 351
insert 6965582 0,514764438622987 180
insert 7083410 0,852218813659725 50
insert 3491020 0,0221020002020998 148
insert 975166 0,50057101459269 90
insert 4856846 0,996106183620219 330
insert 766317 0,675634735578501 89
insert 9123263 0,285425730182522 331
insert 6404669 0,860237026987708 305
insert 8261844 0,60934089385408 235
insert 5821368 0,485900720807677 278
insert 6736493 0,148595785325671 343
insert 9874975 0,282716272064818 245
insert 4771305 0,0832491163552036 240
insert 1587981 0,610799170383624 170
insert 9489121 0,437978589645577 301
insert 8167073 0,400197456777188 208
insert 8554151 0,93366959734525 348
insert 1603519 0,189297666861349 60
insert 568915 0,0560912252664991 235
insert 6539750 0,882156607174387 87
insert 4875332 0,76696515258726 193
insert 6394516 0,42386730500677 126
insert 2962612 0,49818716361103 256
insert 2374403 0,5995012445373 213
insert 5822654 0,75352816039395 242
insert 4465256 0,691554827937649 152
insert 96255 0,00947714178332926 75
insert 734590 0,726721717383117 198
insert 8037401 0,513297344331302 345
insert 7878413 0,930605972153417 81
insert 269730 0,823155464987809 72
insert 4245454 0,671264939788387 303
insert 9378810 0,309460537652234 5
insert 4862554 0,520446094926654 324
insert 8662997 0,617974804070766 120
insert 3765055 0,578086491943377 156
insert 4923104 0,610365874883889 131
insert 2322689 0,644349553456693 314
insert 337344 0,414074138931033 14
insert 9839701 0,835711503324896 327
insert 3926771 0,5084198957814 204
insert 4867648 0,21046726694818 279
insert 3912931 0,157720012198072 29
insert 8307925 0,508644610880243 137
insert 4081471 0,523370061779101 176
insert 3071331 0,207159332096185 39
insert 2180627 0,427234571160392 336
insert 5235286 0,295530916329255 115
insert 8620886 0,79470408605165 64
insert 3284130 0,390810987162781 92
insert 8035905 0,953910902586724 170
insert 1035413 0,0935783610183645 4
insert 3344291 0,379534870097197 146
insert 5578225 0,985212443389563 151
insert 3535062 0,66151787231747 36
insert 9824421 0,824121821589825 43
insert 3836484 0,726601338818018 74
insert 9314965 0,765907385277519 147
insert 9753591 0,869148498805775 76
insert 2473410 0,624676215287613 149
insert 5975398 0,0628800662527234 276
insert 8250724 0,0272019594103107 199
insert 9083452 0,304605828739985 154
insert 4770048 0,97270404220219 297
insert 7012393 0,660240197396018 159
insert 5148443 0,170022326135087 228
insert 2185188 0,879646542426034 349
insert 578264 0,944764625255375 239
insert 502759 0,872094060700431 67
insert 652721 0,128182215675796 80
insert 7991372 0,0870880075204596 271
insert 9917443 0,960282705240083 332
insert 6534574 0,528433866113626 228
insert 5469875 0,0740968510853578 187
insert 6911877 0,906643570822963 271
insert 3792903 0,230257145702027 38
insert 9664548 0,460514735644923 251
insert 5788759 0,0288222609222039 268
insert 4451809 0,539713448164851 42
insert 1026993 0,774796425725704 55
insert 3667301 0,843073153795243 63
insert 2053618 0,67786762801831 318
insert 727658 0,709495019963707 251
insert 5196897 0,861386917932605 230
insert 9996971 0,671531277555754 289
insert 4510662 0,36663862893667 13
insert 9103123 0,670985649186645 231
insert 823363 0,0988172977691597 240
insert 5253036 0,22026128425275 20
insert 98289 0,546563439791353 151
insert 8042169 0,550758078019488 271
insert 4792080 0,180257364725814 83
insert 3430923 0,485825952368707 82
insert 8682812 0,306524537646456 187
insert 4057096 0,446765053759685 215
insert 575377 0,579178804335733 128
